sujeto,grupo,region,banda,potencia
31,CTR,frontal,delta,1.790001873926038e-11
31,CTR,frontal,theta,2.811604186021891e-11
31,CTR,frontal,alfa,5.001323507863585e-11
31,CTR,frontal,beta,2.251362785349785e-11
31,CTR,frontal,delta,1.8016048241492374e-11
31,CTR,frontal,theta,2.6322582751789365e-11
31,CTR,frontal,alfa,4.9566246616661215e-11
31,CTR,frontal,beta,2.3097667934166144e-11
31,CTR,frontal,delta,2.0279574690277213e-11
31,CTR,frontal,theta,2.7508388886175025e-11
31,CTR,frontal,alfa,5.0190220671705316e-11
31,CTR,frontal,beta,2.325672783173165e-11
31,CTR,frontal,delta,2.0813513387793124e-11
31,CTR,frontal,theta,2.095586784062239e-11
31,CTR,frontal,alfa,4.871559134604596e-11
31,CTR,frontal,beta,2.802387248506313e-11
31,CTR,frontal,delta,3.491143811839772e-11
31,CTR,frontal,theta,3.007402476979348e-11
31,CTR,frontal,alfa,5.355227244671459e-11
31,CTR,frontal,beta,2.841205264764072e-11
31,CTR,central,delta,8.245937576679988e-12
31,CTR,central,theta,1.3505482073523094e-11
31,CTR,central,alfa,2.825588019615079e-11
31,CTR,central,beta,1.085977549533289e-11
31,CTR,central,delta,7.346869871469408e-12
31,CTR,central,theta,1.1524246691831747e-11
31,CTR,central,alfa,2.565504787967057e-11
31,CTR,central,beta,1.0316142482746837e-11
31,CTR,central,delta,8.82510628990009e-12
31,CTR,central,theta,1.3931257680072857e-11
31,CTR,central,alfa,2.945871264205988e-11
31,CTR,central,beta,1.156742760273346e-11
31,CTR,central,delta,9.310991689027089e-12
31,CTR,central,theta,9.769439654378946e-12
31,CTR,central,alfa,2.3984606842977304e-11
31,CTR,central,beta,8.88232204081703e-12
31,CTR,central,delta,9.401216991558868e-12
31,CTR,central,theta,1.360356109395821e-11
31,CTR,central,alfa,3.126668746329165e-11
31,CTR,central,beta,1.2548860218969172e-11
31,CTR,parietal,delta,1.1831354185318563e-12
31,CTR,parietal,theta,1.7276989459468277e-12
31,CTR,parietal,alfa,4.0772021577294496e-12
31,CTR,parietal,beta,1.4680349637796666e-12
31,CTR,parietal,delta,9.308839024313405e-13
31,CTR,parietal,theta,1.0899661738124308e-12
31,CTR,parietal,alfa,2.4961235713323976e-12
31,CTR,parietal,beta,1.1489155136624484e-12
31,CTR,parietal,delta,1.8095587685233458e-12
31,CTR,parietal,theta,2.814147090943625e-12
31,CTR,parietal,alfa,7.539036442954413e-12
