sujeto,grupo,region,banda,potencia
29,CTR,central,alfa,6.242227395468305e-11
29,CTR,central,beta,4.0598150072331166e-11
29,CTR,central,delta,2.1618803130959195e-11
29,CTR,central,theta,1.6003419225910395e-11
29,CTR,frontal,alfa,1.010520102176628e-10
29,CTR,frontal,beta,5.814297382678837e-11
29,CTR,frontal,delta,4.6736598471840745e-11
29,CTR,frontal,theta,2.8390101732085653e-11
29,CTR,occipital,alfa,2.612037640450304e-11
29,CTR,occipital,beta,2.0756029225114725e-11
29,CTR,occipital,delta,1.2305765201287725e-11
29,CTR,occipital,theta,8.687008241665906e-12
29,CTR,parietal,alfa,1.9466413030679866e-11
29,CTR,parietal,beta,1.3085352036075919e-11
29,CTR,parietal,delta,7.136683358699467e-12
29,CTR,parietal,theta,5.140358175481762e-12
31,CTR,central,alfa,2.772418700483004e-11
31,CTR,central,beta,1.0834905568119879e-11
31,CTR,central,delta,8.626024483727088e-12
31,CTR,central,theta,1.246679743875297e-11
31,CTR,frontal,alfa,5.040751323195259e-11
31,CTR,frontal,beta,2.5060789750419898e-11
31,CTR,frontal,delta,2.2384118635444163e-11
31,CTR,frontal,theta,2.6595381221719834e-11
31,CTR,occipital,alfa,1.1488765218364045e-11
31,CTR,occipital,beta,3.6625449923670535e-12
31,CTR,occipital,delta,3.79792363369425e-12
31,CTR,occipital,theta,4.494223351926459e-12
31,CTR,parietal,alfa,6.314588857536612e-12
31,CTR,parietal,beta,2.4664753490727244e-12
31,CTR,parietal,delta,2.2564523099417665e-12
31,CTR,parietal,theta,2.638753740386166e-12
35,CTR,central,alfa,7.830689484000972e-11
35,CTR,central,beta,1.1277009971153713e-11
35,CTR,central,delta,2.3286541932936456e-11
35,CTR,central,theta,4.60198019251989e-11
35,CTR,frontal,alfa,2.2576376059865284e-10
35,CTR,frontal,beta,7.377844990012487e-11
35,CTR,frontal,delta,1.1415528406178759e-09
35,CTR,frontal,theta,2.6158448175953956e-10
35,CTR,occipital,alfa,3.7644954880094796e-11
35,CTR,occipital,beta,6.417672762349986e-12
35,CTR,occipital,delta,1.0106282598852787e-11
35,CTR,occipital,theta,1.6340335095263442e-11
35,CTR,parietal,alfa,1.7649338709983218e-11
35,CTR,parietal,beta,3.845451606055256e-12
35,CTR,parietal,delta,8.030202168054289e-12
35,CTR,parietal,theta,1.0867913082505556e-11
37,CTR,central,alfa,8.160813907478923e-12
37,CTR,central,beta,1.0372950488608926e-11
37,CTR,central,delta,1.8949470862648212e-11
37,CTR,central,theta,1.0814395194568592e-11
37,CTR,frontal,alfa,1.3801392226707876e-11
37,CTR,frontal,beta,1.889116009869614e-11
37,CTR,frontal,delta,4.308951565776868e-11
37,CTR,frontal,theta,2.0459432966171607e-11
37,CTR,occipital,alfa,2.451936575045636e-12
37,CTR,occipital,beta,3.7505751310032455e-12
37,CTR,occipital,delta,9.56509718956399e-12
37,CTR,occipital,theta,3.3381480310244916e-12
37,CTR,parietal,alfa,2.7678992541139686e-12
37,CTR,parietal,beta,3.1411404774036907e-12
37,CTR,parietal,delta,1.5459206478198034e-11
37,CTR,parietal,theta,3.5686743368500142e-12
39,CTR,central,alfa,1.622139934488049e-11
39,CTR,central,beta,8.899790391077088e-12
39,CTR,central,delta,1.1154363761402328e-11
39,CTR,central,theta,1.9249970545904847e-11
39,CTR,frontal,alfa,3.0197749983018476e-11
39,CTR,frontal,beta,1.7701224075483152e-11
39,CTR,frontal,delta,2.91025508155443e-11
39,CTR,frontal,theta,3.6550626796073185e-11
