sujeto,grupo,region,banda,potencia
29,CTR,central,alfa,6.315594078676914e-11
29,CTR,central,beta,4.1485203735861915e-11
29,CTR,central,delta,2.4558857633332755e-11
29,CTR,central,theta,1.677505167990713e-11
29,CTR,frontal,alfa,1.0061223338212255e-10
29,CTR,frontal,beta,5.974026266638812e-11
29,CTR,frontal,delta,5.189299470282788e-11
29,CTR,frontal,theta,2.909136909343775e-11
29,CTR,occipital,alfa,2.6120722393559103e-11
29,CTR,occipital,beta,2.0756303160362303e-11
29,CTR,occipital,delta,1.23059346130568e-11
29,CTR,occipital,theta,8.687125774123588e-12
29,CTR,parietal,alfa,3.2305179629055584e-11
29,CTR,parietal,beta,2.2224399569424854e-11
29,CTR,parietal,delta,1.3688419279612144e-11
29,CTR,parietal,theta,9.033505259030984e-12
31,CTR,central,alfa,2.8469395582609325e-11
31,CTR,central,beta,1.0497425947064887e-11
31,CTR,central,delta,9.10147417833192e-12
31,CTR,central,theta,1.2250786603981876e-11
31,CTR,frontal,alfa,4.9426907174744084e-11
31,CTR,frontal,beta,2.4052786443706475e-11
31,CTR,frontal,delta,3.038841806706415e-11
31,CTR,frontal,theta,2.4914603384080682e-11
31,CTR,occipital,alfa,1.148892433866581e-11
31,CTR,occipital,beta,3.662594570496383e-12
31,CTR,occipital,delta,3.797974383122286e-12
31,CTR,occipital,theta,4.494282876048693e-12
31,CTR,parietal,alfa,1.2408846607788633e-11
31,CTR,parietal,beta,4.198480036907548e-12
31,CTR,parietal,delta,4.030038336939137e-12
31,CTR,parietal,theta,5.386584462545273e-12
35,CTR,central,alfa,8.051881974988226e-11
35,CTR,central,beta,1.3198481976930984e-11
35,CTR,central,delta,2.853144183026938e-11
35,CTR,central,theta,5.0983944147966976e-11
35,CTR,frontal,alfa,1.9134673601952107e-10
35,CTR,frontal,beta,5.503418642710118e-11
35,CTR,frontal,delta,6.991326223713866e-10
35,CTR,frontal,theta,1.9078073028139506e-10
35,CTR,occipital,alfa,3.764545734701863e-11
35,CTR,occipital,beta,6.417762181121476e-12
35,CTR,occipital,delta,1.0106418824657653e-11
35,CTR,occipital,theta,1.6340552045326335e-11
35,CTR,parietal,alfa,3.9372743700822366e-11
35,CTR,parietal,beta,8.074124374577692e-12
35,CTR,parietal,delta,1.8923681639168663e-11
35,CTR,parietal,theta,2.2134888709307905e-11
37,CTR,central,alfa,8.224957436051903e-12
37,CTR,central,beta,1.140924509356005e-11
37,CTR,central,delta,1.8591567046978573e-11
37,CTR,central,theta,1.0776407765843841e-11
37,CTR,frontal,alfa,1.4447079289329906e-11
37,CTR,frontal,beta,1.906054561842062e-11
37,CTR,frontal,delta,6.171830668545583e-11
37,CTR,frontal,theta,2.204208181777076e-11
37,CTR,occipital,alfa,2.4519699167343227e-12
37,CTR,occipital,beta,3.750629829734189e-12
37,CTR,occipital,delta,9.565228205886208e-12
37,CTR,occipital,theta,3.338192966235092e-12
37,CTR,parietal,alfa,3.6887345536578124e-12
37,CTR,parietal,beta,4.650790335252482e-12
37,CTR,parietal,delta,1.2765017001729626e-11
37,CTR,parietal,theta,5.335852916576241e-12
39,CTR,central,alfa,1.6791473842813856e-11
39,CTR,central,beta,1.0826317065298529e-11
39,CTR,central,delta,1.1595774275214369e-11
39,CTR,central,theta,1.8636839781099053e-11
39,CTR,frontal,alfa,2.9030731855918852e-11
39,CTR,frontal,beta,2.111785452744655e-11
39,CTR,frontal,delta,2.7697961063200047e-11
39,CTR,frontal,theta,3.331560564925321e-11
39,CTR,occipital,alfa,9.079075329746302e-12
39,CTR,occipital,beta,4.519816795404308e-12
39,CTR,occipital,delta,2.385067448100178e-11
39,CTR,occipital,theta,1.0643489555683889e-11
39,CTR,parietal,alfa,8.061370431485601e-12
39,CTR,parietal,beta,4.9226213337201875e-12
39,CTR,parietal,delta,1.917089634177617e-11
39,CTR,parietal,theta,8.007410675027928e-12
43,CTR,central,alfa,7.836603288116595e-12
43,CTR,central,beta,8.322509881263205e-12
43,CTR,central,delta,6.212717102788022e-12
43,CTR,central,theta,5.82932225802147e-12
43,CTR,frontal,alfa,1.1795635204420962e-11
43,CTR,frontal,beta,1.2141411861755373e-11
43,CTR,frontal,delta,1.3102428597199637e-11
43,CTR,frontal,theta,1.023225961144412e-11
43,CTR,occipital,alfa,3.616361258641281e-12
43,CTR,occipital,beta,2.4966498042913554e-12
43,CTR,occipital,delta,2.829156910922488e-12
43,CTR,occipital,theta,2.843964594823272e-12
43,CTR,parietal,alfa,5.082079833232568e-12
43,CTR,parietal,beta,3.342622471178887e-12
43,CTR,parietal,delta,3.309773071942007e-12
43,CTR,parietal,theta,3.5510202110058417e-12
46,CTR,central,alfa,4.2560309451612474e-11
46,CTR,central,beta,1.4487224918044354e-11
46,CTR,central,delta,3.3251732864481844e-11
46,CTR,central,theta,1.7283163925600818e-11
46,CTR,frontal,alfa,6.959191798185274e-11
46,CTR,frontal,beta,2.0115043585908897e-11
46,CTR,frontal,delta,6.981750835839608e-11
46,CTR,frontal,theta,2.622097703706244e-11
46,CTR,occipital,alfa,2.4166745645556892e-11
46,CTR,occipital,beta,7.741565235302409e-12
46,CTR,occipital,delta,2.125543145396126e-11
46,CTR,occipital,theta,1.3876300159563196e-11
46,CTR,parietal,alfa,4.2735765083062e-11
46,CTR,parietal,beta,2.6033999471812358e-11
46,CTR,parietal,delta,6.773305045031037e-10
46,CTR,parietal,theta,8.688253022683033e-11
48,CTR,central,alfa,2.6681536271789794e-11
48,CTR,central,beta,1.4303546922676393e-11
48,CTR,central,delta,1.753841173415513e-11
48,CTR,central,theta,7.006597667614595e-12
48,CTR,frontal,alfa,4.633760022517702e-11
48,CTR,frontal,beta,1.5715348686190247e-11
48,CTR,frontal,delta,7.594559014652045e-11
48,CTR,frontal,theta,1.689018559688778e-11
48,CTR,occipital,alfa,9.318578679573504e-12
48,CTR,occipital,beta,3.997990026395513e-12
48,CTR,occipital,delta,8.62358820074195e-12
48,CTR,occipital,theta,3.485908556073608e-12
48,CTR,parietal,alfa,1.2964749215434022e-11
48,CTR,parietal,beta,5.941557347977489e-12
48,CTR,parietal,delta,1.2480849910973796e-11
48,CTR,parietal,theta,4.828267871591677e-12
50,CTR,central,alfa,7.661257208903376e-12
50,CTR,central,beta,5.493027132757616e-12
50,CTR,central,delta,1.2552871820646564e-11
50,CTR,central,theta,5.21287315636794e-12
50,CTR,frontal,alfa,1.3288018100196806e-11
50,CTR,frontal,beta,1.0247522698448637e-11
50,CTR,frontal,delta,4.15851684556038e-11
50,CTR,frontal,theta,1.1174483250793105e-11
50,CTR,occipital,alfa,4.802355151381307e-12
50,CTR,occipital,beta,3.158836769448327e-12
50,CTR,occipital,delta,1.0394657229098224e-11
50,CTR,occipital,theta,4.011285407050548e-12
50,CTR,parietal,alfa,4.296641843384115e-12
50,CTR,parietal,beta,3.5030261935476274e-12
50,CTR,parietal,delta,1.7054047228576617e-11
50,CTR,parietal,theta,3.91551063048934e-12
52,CTR,central,alfa,5.7170220439305115e-11
52,CTR,central,beta,1.037051296237025e-11
52,CTR,central,delta,2.0316079370744295e-11
52,CTR,central,theta,2.100795252792139e-11
52,CTR,frontal,alfa,9.200220749288942e-11
52,CTR,frontal,beta,1.416792148936206e-11
52,CTR,frontal,delta,2.8397695824054627e-11
